planeta,instrumento,obs,parte,bin_id,wavelength_min_um,wavelength_max_um,wavelength_center_um,bin_width_um,n_integracoes,n_integracoes_usadas,n_pixels_validos_mediana,fluxo_integrado_mediano,erro_integrado_mediano
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,1,0.9,1.0,0.95,0.1,3620,3620,110.0,0.12681663211255179,2.1699247844310996e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,2,1.0,1.1,1.05,0.1,3620,3620,108.0,0.12908427300740777,2.0398037796549314e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,3,1.1,1.2,1.15,0.1,3620,3620,106.0,0.12915719319618857,1.9931983888992993e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,4,1.2,1.3,1.25,0.1,3620,3620,104.0,0.1293229331457746,2.0595636735846078e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,5,1.3,1.4,1.35,0.1,3620,3620,104.0,0.13075479239465027,2.23100215008023e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,6,1.4,1.5,1.45,0.1,3620,3620,103.0,0.1291465605561018,2.4392775509103318e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,7,1.5,1.6,1.55,0.1,3620,3620,102.0,0.126101232024978,2.6663899694183112e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,8,1.6,1.7,1.65,0.1,3620,3620,102.0,0.12413534782860042,2.9135989858392188e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,9,1.7,1.8,1.75,0.1,3620,3620,102.0,0.11444607625950853,3.046645084252146e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,10,1.8,1.9,1.85,0.1,3620,3620,102.0,0.10387673382239156,3.162020561234365e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,11,1.9,2.0,1.95,0.1,3620,3620,102.0,0.09565711143403824,3.267476663762981e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,12,2.0,2.1,2.05,0.1,3620,3620,102.0,0.08909423413603548,3.44553070854798e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,13,2.1,2.2,2.15,0.1,3620,3620,101.0,0.08178794873890878,3.482125785792683e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,14,2.2,2.3,2.25,0.1,3620,3620,101.0,0.07690707999689181,3.591760732562825e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,15,2.3,2.4,2.35,0.1,3620,3620,101.0,0.069952233740288,3.683564487894332e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,16,2.4,2.5,2.45,0.1,3620,3620,101.0,0.06458810710763258,3.795860983190803e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,17,2.5,2.6,2.55,0.1,3620,3620,101.0,0.05997865789128329,3.926898317734487e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,18,2.6,2.7,2.65,0.1,3620,3620,101.0,0.05553056957942716,4.080582288631779e-05
TOI-2076_b,NIRISS_SOSS,obs10,HDU3,19,2.7,2.8,2.75,0.1,3620,3620,101.0,0.050698048013436844,4.2774680401592944e-05
